ex;perhidro;mes;Local;ano;hora;num;sp;CP;peso;Sexo;EstMat;Gordura;pesoevis;Categoria; anom.min ;anom.max;anom.cheia;anom.seca;hidro.min;hidro.max;dur_cheia;dur_seca;estomago;gr
110;seca;nov/09;Lago do Padre;11;N;60824;Acestrorhynchus falcirostris;22.5;103.7;F;2;2;96.28;estrito;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
110;seca;nov/09;Lago do Padre;11;N;60825;Acestrorhynchus falcirostris;18.5;54.6;F;6;1;51.49;estrito;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
110;seca;nov/09;Lago do Padre;11;N;60840;Serrasalmus maculatus;12.7;98.8;F;3;2;87.8;mutilador ;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;1;NA
110;seca;nov/09;Lago do Padre;11;N;60850;Pellona flavipinnis;13.5;39.8;M;NA;1;37.58;carnivoro;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
110;seca;nov/09;Lago do Padre;11;N;60851;Pellona flavipinnis;20.3;136.7;F;5;0;129.82;carnivoro;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
110;seca;nov/09;Lago do Padre;11;N;60852;Pellona flavipinnis;13.5;38.3;F;2;1;36.1;carnivoro;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
110;seca;nov/09;Lago do Padre;11;N;60853;Pellona flavipinnis;14.5;46.9;F;2;1;44.25;carnivoro;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
110;seca;nov/09;Lago do Padre;11;N;60854;Pellona flavipinnis;11.5;24.3;F;1;1;22.79;carnivoro;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
110;seca;nov/09;Lago do Padre;11;N;60855;Pellona flavipinnis;14.5;47.9;F;3;0;43.84;carnivoro;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
110;seca;nov/09;Lago do Padre;11;CV;60962;Serrasalmus maculatus;14.1;128.8;F;3;2;113.3;mutilador ;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;1;NA
110;seca;nov/09;Lago do Padre;11;CV;60982;Acestrorhynchus falcirostris;25.2;140.4;F;2;2;133.0 ;estrito;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
110;seca;nov/09;Lago do Padre;11;CV;60983;Acestrorhynchus falcirostris;29.3;246.5;F;6;3;224.6;estrito;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
110;seca;nov/09;Lago do Padre;11;CV;60984;Acestrorhynchus falcirostris;19.2;59.1;F;2;0;57.4;estrito;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
